Scale,Item
Resilience,7
Resilience,17
Resilience,29
Resilience,34
Resilience,38
Self-Discipline,4
Self-Discipline,14
Self-Discipline,24
Self-Discipline,42
Self-Discipline,49
Competitiveness,9
Competitiveness,26
Competitiveness,33
Competitiveness,46
Competitiveness,50
Achievement Motivation,16
Achievement Motivation,35
Achievement Motivation,44
Achievement Motivation,48
Achievement Motivation,58
Focus & Concentration,1
Focus & Concentration,30
Focus & Concentration,43
Focus & Concentration,59
Focus & Concentration,64
Confidence,3
Confidence,27
Confidence,37
Confidence,56
Confidence,57
Emotional Control,6
Emotional Control,13
Emotional Control,15
Emotional Control,25
Emotional Control,41
Coachability & Adaptability,19
Coachability & Adaptability,22
Coachability & Adaptability,36
Coachability & Adaptability,39
Coachability & Adaptability,54
Risk-Taking,2
Risk-Taking,11
Risk-Taking,31
Risk-Taking,23
Risk-Taking,66
Team Orientation,5
Team Orientation,12
Team Orientation,20
Team Orientation,55
Team Orientation,62
Leadership & Influence,8
Leadership & Influence,28
Leadership & Influence,61
Leadership & Influence,63
Leadership & Influence,65
Aggressiveness & Bravery,32
Aggressiveness & Bravery,45
Aggressiveness & Bravery,47
Aggressiveness & Bravery,52
Aggressiveness & Bravery,53
Impression Management,10
Impression Management,21
Impression Management,40
Impression Management,51
Attention Check,18
Attention Check,60
